DoctorID,FirstName,LastName,Specialization,DateOfBirth,Gender,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000000,697,1840,Oncology,2/19/1988,M,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000001,413,1913,Geriatric Medicine,2/13/1990,F,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000002,685,1452,Pediatrics,12/1/1971,M,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000003,515,1858,Psychiatry,12/26/1967,F,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000004,867,1278,Geriatric Medicine,11/21/1984,M,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000005,460,1089,Orthopedics,10/3/1972,M,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000006,524,1078,Neurology,8/22/1979,F,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000007,320,1386,Geriatric Medicine,9/14/1965,F,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000008,142,1913,Nerosurgery,6/15/1998,M,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
2000009,181,1515,Endocrinology,8/20/1973,F,,,,F,M,Neurology,Orthopedics,Gastroenterology,Geriatric Medicine,Psychiatry,Pediatrics,Pathology,Anesthesiology,Dermatology,Radiology,Nerosurgery,Cardiology,Rheumatology,Oncology,Endocrinology,Otloaryngology
